city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Four Lakes,Four Lakes,,47.5582,-117.5891,United States,US,USA,Washington,Washington,US-WA,state,,56.0,490.0,490.0,3,America/Los_Angeles,False,1840023784
Fife Heights,Fife Heights,,47.2593,-122.3459,United States,US,USA,Washington,Washington,US-WA,state,,837.0,2368.0,2368.0,3,America/Los_Angeles,False,1840037653
Enetai,Enetai,,47.5885,-122.6058,United States,US,USA,Washington,Washington,US-WA,state,,721.0,1921.0,1921.0,3,America/Los_Angeles,False,1840023794
Maple Grove,Maple Grove,,48.0812,-123.7052,United States,US,USA,Washington,Washington,US-WA,state,,85.3,,,4,America/Los_Angeles,False,1840120581
Aladdin,Aladdin,,48.7285,-117.6714,United States,US,USA,Washington,Washington,US-WA,state,,1.1,,,5,America/Los_Angeles,False,1840120414
Alta Vista,Alta Vista,,46.4996,-122.3723,United States,US,USA,Washington,Washington,US-WA,state,,9.5,,,5,America/Los_Angeles,False,1840120413
Ajlune,Ajlune,,46.5154,-122.4348,United States,US,USA,Washington,Washington,US-WA,state,,24.0,,,4,America/Los_Angeles,False,1840120412
Garden City,Garden City,,47.0543,-123.3032,United States,US,USA,Washington,Washington,US-WA,state,,185.9,,,4,America/Los_Angeles,False,1840120237
Geiger Heights,Geiger Heights,,47.5927,-117.4908,United States,US,USA,Washington,Washington,US-WA,state,,346.2,,,4,America/Los_Angeles,False,1840120238
Berry Patch,Berry Patch,,46.4668,-121.5276,United States,US,USA,Washington,Washington,US-WA,state,,0.1,,,5,America/Los_Angeles,False,1840120436
Firloch,Firloch,,47.7032,-122.1746,United States,US,USA,Washington,Washington,US-WA,state,,2447.7,,,4,America/Los_Angeles,False,1840120230
Georgetown,Georgetown,,47.3576,-121.9737,United States,US,USA,Washington,Washington,US-WA,state,,12.4,,,4,America/Los_Angeles,False,1840037766
Marcus,Marcus,,48.6643,-118.06,United States,US,USA,Washington,Washington,US-WA,state,,302.0,172.0,172.0,3,America/Los_Angeles,False,1840022273
Pluvius,Pluvius,,46.5482,-123.409,United States,US,USA,Washington,Washington,US-WA,state,,1.4,,,5,America/Los_Angeles,False,1840119961
